gene,log2FC,pvalue,padj,significant
ENSG00000214776,0.5738743397169668,0.09630369205385092,0.6705868445576055,0
ENSG00000214783,-0.20421119303623636,0.5205228833072988,0.8838389099367634,0
ENSG00000214787,1.357552004618084,0.002202219944199557,0.37719741249709743,0
ENSG00000214796,0.3897772347459444,0.04936619476911441,0.5876950326345025,0
ENSG00000214803,-0.5075375287759902,0.17361733445746297,0.7392776250340592,0
ENSG00000214814,-0.21412480535284734,0.7337299957156109,0.9380808229450193,0
ENSG00000214820,-0.3586309778498051,0.014019277121206652,0.4516207167032282,0
ENSG00000214826,-0.20124142075740606,0.4496917980031534,0.8513238912848072,0
ENSG00000214827,0.4228328600327999,0.06402210130312946,0.6268067036141293,0
ENSG00000214837,0.06128712078414534,0.8798291600208448,0.9618973227747779,0
ENSG00000214842,-0.5711567011961258,0.10410988968639412,0.687100084085839,0
ENSG00000214870,0.2139680275966334,0.42735531393274506,0.8513238912848072,0
ENSG00000214875,-0.3479233034203071,0.3846730627714421,0.837405342061362,0
ENSG00000214900,-0.28472947693311296,0.8205958397687718,0.9492527585004403,0
ENSG00000214903,0.015197830966360692,0.8798291600208448,0.9618973227747779,0
ENSG00000214919,-0.17148046794435365,0.405678895320547,0.837405342061362,0
ENSG00000214922,-0.6184921242863505,0.11241058468252252,0.687100084085839,0
ENSG00000214941,0.1355747867769856,0.16197241051185074,0.7392776250340592,0
ENSG00000214944,0.15116881969833124,0.3643461266698109,0.8250815138311735,0
ENSG00000214954,-0.03400067123532789,0.8501067391497223,0.9618973227747779,0
ENSG00000214960,0.4158230669763854,0.07566157216600344,0.6479813510379644,0
ENSG00000214975,-0.12398871727545348,0.6231762239083831,0.9119784573113036,0
ENSG00000214978,-0.2263396058531109,0.3846730627714421,0.837405342061362,0
ENSG00000214988,0.02236781302845451,0.5967012167571022,0.8981039134389602,0
ENSG00000214999,-0.2527660703799669,0.05878172137447146,0.6050405000075227,0
ENSG00000215006,-0.07885542071123965,0.6775849579754756,0.9252695404900921,0
ENSG00000215012,0.15726889825875323,0.4496917980031534,0.8513238912848072,0
ENSG00000215014,0.060855205386854606,0.6775849579754756,0.9252695404900921,0
ENSG00000215018,0.025705277145988237,0.5453496680415029,0.8838389099367634,0
ENSG00000215021,0.21042920778647978,0.25683925799381546,0.7874556902355127,0
ENSG00000215022,-0.11016263452605966,0.6501474441195367,0.9119784573113036,0
ENSG00000215030,0.856592930243335,0.05878172137447146,0.6050405000075227,0
ENSG00000215032,-0.047828525090615005,0.9097218891523506,0.9726011360704875,0
ENSG00000215039,0.08107035529972394,0.405678895320547,0.837405342061362,0
ENSG00000215041,0.15059894266525162,0.4496917980031534,0.8513238912848072,0
ENSG00000215045,-0.2624420448971659,0.3846730627714421,0.837405342061362,0
ENSG00000215065,-0.33257533908687076,0.3447042220434273,0.8250815138311735,0
ENSG00000215067,-0.08344525736179574,0.405678895320547,0.837405342061362,0
ENSG00000215068,0.5418937788292704,0.07566157216600344,0.6479813510379644,0
ENSG00000215097,-0.024189465567070925,0.7913367801160693,0.9492527585004403,0
ENSG00000215105,0.027461138980760202,1.0,1.0,0
ENSG00000215114,-0.1217010549319576,0.49629170226364927,0.871227404338742,0
ENSG00000215126,-0.1727430019716827,0.12122450304104815,0.7020243537915193,0
ENSG00000215146,-0.39351220134881787,0.5453496680415029,0.8838389099367634,0
ENSG00000215154,0.20715790764128775,0.08897301172596284,0.6705868445576055,0
ENSG00000215158,0.14934597332185576,0.25683925799381546,0.7874556902355127,0
ENSG00000215159,-0.2583119955913906,0.17361733445746297,0.7392776250340592,0
ENSG00000215174,0.09310940439148145,0.4496917980031534,0.8513238912848072,0
ENSG00000215184,0.09437882377904717,0.5453496680415029,0.8838389099367634,0
ENSG00000215187,-0.09037443667024275,0.6501474441195367,0.9119784573113036,0
ENSG00000215190,0.1826922975161903,0.3846730627714421,0.837405342061362,0
ENSG00000215193,0.03789583764326652,0.8798291600208448,0.9618973227747779,0
ENSG00000215196,-0.18658699228804815,0.5967012167571022,0.8981039134389602,0
ENSG00000215199,-0.11973924427409557,0.5205228833072988,0.8838389099367634,0
ENSG00000215217,0.18828721076982644,0.6231762239083831,0.9119784573113036,0
ENSG00000215218,-0.1283298750754001,0.1305700181448164,0.7020243537915193,0
ENSG00000215223,0.3114610958362938,0.06402210130312946,0.6268067036141293,0
ENSG00000215237,0.09529244978357501,0.8205958397687718,0.9492527585004403,0
ENSG00000215241,0.41457113591907263,0.11241058468252252,0.687100084085839,0
