gene,log2FC,pvalue,padj,significant
ENSG00000106305,0.41056100517255095,0.24132159305275325,0.3792846352542079,0
ENSG00000106327,0.16624934329891408,0.6231762239083831,0.7133911717880214,0
ENSG00000106328,0.5877720343079801,0.015564411394457967,0.0920759360922854,0
ENSG00000106330,0.4484866595797172,0.019109922215918784,0.0995993695487728,0
ENSG00000106333,0.2802647764955144,0.0820987086774072,0.2012794453479033,0
ENSG00000106336,0.3186330153257811,0.04515456964052578,0.1508691017698144,0
ENSG00000106341,-0.06161911826366583,0.7623688184872623,0.8206743657414851,0
ENSG00000106344,0.2845680278551786,0.012611144106014827,0.08452034736860742,0
ENSG00000106346,0.33708266222670236,0.014019277121206652,0.09124386139880844,0
ENSG00000106348,0.43844739676008915,0.0031970994502392713,0.060626119370268884,0
ENSG00000106351,0.3940476020479626,0.0820987086774072,0.2012794453479033,0
ENSG00000106355,0.28802565073629155,0.09630369205385092,0.2193359994218648,0
ENSG00000106366,0.863835404458363,0.04936619476911441,0.15432411743095734,0
ENSG00000106367,0.4291658859362958,0.17361733445746297,0.30771802504606466,0
ENSG00000106392,0.14988483481330717,0.4496917980031534,0.5666914173546389,0
ENSG00000106397,0.5626689214029184,0.015564411394457967,0.0920759360922854,0
ENSG00000106399,0.21440218447522388,0.8798291600208448,0.9093507004314615,0
ENSG00000106400,0.3448520426576062,0.22647606607859094,0.36191025841794766,0
ENSG00000106404,0.3864511924611666,0.0019397281144371004,0.05667212870481151,0
ENSG00000106415,0.08751343855634844,0.5967012167571022,0.6895851237595824,0
ENSG00000106443,0.3394662687008386,0.019109922215918784,0.0995993695487728,0
ENSG00000106459,0.40310702243152,0.000880743191536304,0.05667212870481151,0
ENSG00000106460,0.12059014081358867,0.3643461266698109,0.4914536655484717,0
ENSG00000106462,0.17814922008080963,0.04936619476911441,0.15432411743095734,0
ENSG00000106477,0.3557021340567354,0.0539025571875249,0.16449618843025535,0
ENSG00000106479,0.2965767007595449,0.008150971598321455,0.07435160525791985,0
ENSG00000106483,1.7144390251495982,0.019109922215918784,0.0995993695487728,0
ENSG00000106484,0.40814292155357124,0.010165201897657461,0.07930506234067636,0
ENSG00000106511,0.49992639686535684,0.1305700181448164,0.2601415719163731,0
ENSG00000106524,0.19556277588117002,0.5967012167571022,0.6895851237595824,0
ENSG00000106526,0.5353783008389407,0.010165201897657461,0.07930506234067636,0
ENSG00000106536,0.39248788358605846,0.14046504818835404,0.2750361504060679,0
ENSG00000106537,0.29781775413591494,0.6501474441195367,0.7318730758503017,0
ENSG00000106538,0.7479445392573719,0.0007685389138707421,0.05667212870481151,0
ENSG00000106546,0.25995282038115786,0.2899184539790305,0.42346650145547243,0
ENSG00000106554,0.30983697666737514,0.06964240481943329,0.1840938310445641,0
ENSG00000106560,0.5279315556847773,0.015564411394457967,0.0920759360922854,0
ENSG00000106565,0.9912845382895735,0.008150971598321455,0.07435160525791985,0
ENSG00000106571,0.6597736251971467,0.010165201897657461,0.07930506234067636,0
ENSG00000106588,0.15441085945492028,0.5205228833072988,0.630170298029146,0
ENSG00000106591,0.3033718958089269,0.11241058468252252,0.23932699558046078,0
ENSG00000106603,0.3851170087167213,0.0019397281144371004,0.05667212870481151,0
ENSG00000106605,0.24635362038596711,0.6501474441195367,0.7318730758503017,0
ENSG00000106608,0.3354335546792512,0.09630369205385092,0.2193359994218648,0
ENSG00000106609,0.440267065116121,0.012611144106014827,0.08452034736860742,0
ENSG00000106610,0.3297389823578643,0.02334220202334447,0.10851954591224756,0
