gene,spearman_rho,pvalue,padj,trend_significant
ENSG00000171848,-0.16100173209435698,0.3210607267871515,0.7748331627171201,0
ENSG00000171853,0.16806793354194993,0.2997036046829442,0.7615176237247971,0
ENSG00000171858,0.23596552394876685,0.139667191205332,0.6266109033951146,0
ENSG00000171860,0.43496050340164133,0.0033005228144964427,0.14251525030528728,0
ENSG00000171861,0.00449458140854794,0.9781887547610653,0.9953818037797754,0
ENSG00000171862,-0.009615827043444897,0.9533555424487277,0.9901722792013776,0
ENSG00000171863,0.2530425790454358,0.11161497585884605,0.5861413878125872,0
ENSG00000171865,0.039307424821234185,0.8108864125707709,0.9585328271814958,0
ENSG00000171867,0.06595203113493185,0.6876502610523811,0.9249036529061173,0
ENSG00000171873,0.05088536253460855,0.7566179268867728,0.9459922841641849,0
ENSG00000171877,0.06375711409240638,0.6975646438394341,0.928674431671937,0
ENSG00000171885,0.38735059807616073,0.010598142973512026,0.24182060989626297,0
ENSG00000171889,0.4620260101469892,0.0015301486653136465,0.09887985340346592,0
ENSG00000171903,0.42751523981007056,0.004019793602429544,0.1566091551152146,0
ENSG00000171914,0.03522319253957533,0.8302450060651028,0.9629807253895857,0
ENSG00000171928,0.11231795746557743,0.49173362978289914,0.858600167799047,0
ENSG00000171940,0.4369070884760894,0.0031316521085833493,0.1383902518372557,0
ENSG00000171943,-0.16018479089766785,0.32358744875496726,0.7765850382133219,0
ENSG00000171951,-0.19388433875641614,0.22929992287885526,0.7076335036877253,0
ENSG00000171953,0.03945824376108947,0.8101735150221869,0.9583734192058141,0
ENSG00000171960,0.2721673568071147,0.08534567182424513,0.5391932163849505,0
ENSG00000171962,0.3437658168031551,0.02596368799010751,0.34970697960639463,0
ENSG00000171970,-0.03812064589018584,0.8165011196219576,0.959650674497646,0
ENSG00000171984,0.33411007689447636,0.03106636939492402,0.3719506575790282,0
ENSG00000171988,0.06485785497683713,0.692586574961731,0.9270067647531877,0
ENSG00000171992,0.166291095936096,0.3049898049267279,0.7631457583860862,0
ENSG00000172000,-0.38635664151710847,0.010835282481156394,0.24306016629478364,0
ENSG00000172005,0.5363789754275274,0.00011071560211783904,0.03336408000206494,1
ENSG00000172006,0.062041956456647694,0.7053452322230973,0.930799224212193,0
ENSG00000172007,0.044584489349216924,0.7860320286257956,0.9534359332754019,0
ENSG00000172009,0.1622148214285487,0.31733072870294654,0.7718638710802391,0
ENSG00000172014,0.16777854880075402,0.30056068010390313,0.7616878023304627,0
ENSG00000172020,-0.18386904344527752,0.2551911026285858,0.7295708210727023,0
ENSG00000172031,-0.08566703170382947,0.6009638802320023,0.8978623267521284,0
ENSG00000172037,0.2628674458072165,0.09747051488669478,0.5616545957883785,0
ENSG00000172046,0.28368125448370024,0.07194100437791517,0.51159179664871,0
ENSG00000172053,0.09877626583901868,0.5459864073495373,0.8777379799342748,0
ENSG00000172057,0.2532121735397066,0.11135879169222429,0.586010119462637,0
ENSG00000172058,0.3157521521589914,0.04294957936269128,0.4216213020495428,0
